time,open,high,low,close
2024-01-01T16:30:00,154.82393,154.92398,154.7395,154.85234
2024-01-01T16:45:00,154.88157,154.96005,154.88064,154.94553
2024-01-01T17:00:00,154.93349,155.0131,154.82082,154.84664
2024-01-01T17:15:00,154.82356,154.83641,154.75718,154.77876
2024-01-01T17:30:00,154.78505,154.87116,154.76061,154.83073
2024-01-01T17:45:00,154.81657,154.87519,154.70792,154.84945
2024-01-01T18:00:00,154.82499,154.87581,154.79178,154.79208
2024-01-01T18:15:00,154.80835,154.8848,154.77691,154.85688
2024-01-01T18:30:00,154.85999,154.91131,154.85882,154.86277
2024-01-01T18:45:00,154.88576,154.99423,154.82029,154.96546
2024-01-01T19:00:00,154.97041,154.98818,154.95512,154.96531
2024-01-01T19:15:00,154.98925,155.08478,154.88596,155.06469
2024-01-01T19:30:00,155.04729,155.07724,155.03496,155.06794
2024-01-01T19:45:00,155.09099,155.13975,155.01651,155.03556
2024-01-01T20:00:00,155.06135,155.1651,154.9442,155.1233
2024-01-01T20:15:00,155.14619,155.14916,155.0578,155.08815
2024-01-01T20:30:00,155.114,155.21027,155.01031,155.17242
2024-01-01T20:45:00,155.15843,155.25292,155.14546,155.23918
2024-01-01T21:00:00,155.2607,155.28739,155.16271,155.2201
2024-01-01T21:15:00,155.20841,155.30385,155.1811,155.184
2024-01-01T21:30:00,155.16559,155.20498,155.06187,155.20024
2024-01-01T21:45:00,155.18699,155.26397,155.13903,155.26161
2024-01-01T22:00:00,155.26379,155.37649,155.24995,155.37275
2024-01-01T22:15:00,155.35346,155.46897,155.32161,155.33758
2024-01-01T22:30:00,155.33365,155.42108,155.29601,155.37183
2024-01-01T22:45:00,155.37252,155.41874,155.30332,155.33272
2024-01-01T23:00:00,155.34525,155.34545,155.23418,155.2941
2024-01-01T23:15:00,155.30726,155.3963,155.22679,155.28853
2024-01-01T23:30:00,155.26272,155.34243,155.2231,155.26056
2024-01-01T23:45:00,155.28144,155.36781,155.2454,155.28326
2024-01-02T00:00:00,155.27777,155.32605,155.24229,155.25295
2024-01-02T00:15:00,155.24818,155.36102,155.1669,155.34215
2024-01-02T00:30:00,155.34908,155.3852,155.28333,155.28337
2024-01-02T00:45:00,155.27059,155.32217,155.20099,155.28033
2024-01-02T01:00:00,155.27823,155.33129,155.25258,155.28983
2024-01-02T01:15:00,155.3139,155.40942,155.29353,155.30336
2024-01-02T01:30:00,155.30429,155.38024,155.26406,155.35915
2024-01-02T01:45:00,155.37421,155.45495,155.34726,155.3687
2024-01-02T02:00:00,155.34017,155.36955,155.28315,155.35657
2024-01-02T02:15:00,155.33094,155.38067,155.25536,155.27973
2024-01-02T02:30:00,155.29151,155.35083,155.26223,155.32036
2024-01-02T02:45:00,155.29069,155.38081,155.19829,155.21774
2024-01-02T03:00:00,155.21325,155.23436,155.09829,155.16877
2024-01-02T03:15:00,155.14178,155.17169,155.03998,155.1001
2024-01-02T03:30:00,155.11818,155.19829,154.99964,155.11793
2024-01-02T03:45:00,155.14493,155.2519,155.07141,155.20123
2024-01-02T04:00:00,155.20152,155.30119,155.13577,155.28418
2024-01-02T04:15:00,155.2988,155.35576,155.2677,155.28947
2024-01-02T04:30:00,155.29773,155.38963,155.23518,155.33198
2024-01-02T04:45:00,155.31846,155.32775,155.28417,155.29601
2024-01-02T05:00:00,155.28519,155.35001,155.26859,155.28742
2024-01-02T05:15:00,155.29906,155.38383,155.29135,155.32904
2024-01-02T05:30:00,155.3316,155.38149,155.30678,155.33817
2024-01-02T05:45:00,155.36246,155.43255,155.279,155.41055
2024-01-02T06:00:00,155.42649,155.47213,155.42578,155.44208
2024-01-02T06:15:00,155.45729,155.55971,155.34288,155.43374
2024-01-02T06:30:00,155.44859,155.51412,155.3762,155.40661
2024-01-02T06:45:00,155.38978,155.44208,155.3863,155.40505
2024-01-02T07:00:00,155.4158,155.46431,155.39599,155.42792
2024-01-02T07:15:00,155.40558,155.48025,155.40235,155.43304
2024-01-02T07:30:00,155.43691,155.44016,155.35978,155.37068
2024-01-02T07:45:00,155.36839,155.37442,155.32289,155.3338
2024-01-02T08:00:00,155.32341,155.41476,155.27791,155.38082
2024-01-02T08:15:00,155.40074,155.43101,155.39091,155.39169
2024-01-02T08:30:00,155.39405,155.51404,155.35206,155.45737
2024-01-02T08:45:00,155.47424,155.55245,155.38373,155.54395
